# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1608633694
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./vaccine_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,VE,theta
-10.5476,0.999185,0.149952,3,15,0,10.8929,0.826903,0.147555
-10.6314,0.995124,0.26168,3,9,0,10.8405,0.867659,0.116874
-10.8996,0.978351,0.448002,1,3,0,11.0301,0.885533,0.10271
-10.7661,1,0.728804,1,1,0,10.8928,0.878104,0.108652
-10.7661,0.411759,1.24307,1,1,0,12.1136,0.878104,0.108652
-11.4211,0.944373,0.480169,1,3,0,11.7481,0.904585,0.087104
-11.5254,0.986872,0.70938,1,1,0,11.6277,0.90742,0.0847353
-13.4632,0.575809,1.15749,1,1,0,13.5963,0.939741,0.0568341
-10.9461,1,0.683073,2,3,0,13.2863,0.88774,0.10093
-15.4866,0.0846033,1.14288,2,3,0,15.5393,0.957213,0.0410313
-15.6469,0.999291,0.206717,2,3,0,15.7476,0.958268,0.0400606
-10.587,0.976151,0.345582,2,7,0,16.365,0.862764,0.120675
-10.6015,0.999498,0.54274,2,3,0,10.6053,0.864506,0.119326
-11.0292,0.89319,0.895315,2,3,0,11.5755,0.779735,0.180506
-10.6212,1,1.14176,1,1,0,10.8724,0.815163,0.156002
-10.6212,0.000268441,1.86355,1,1,0,11.5817,0.815163,0.156002
-10.5124,0.999648,0.295334,3,7,0,10.6527,0.838557,0.139002
-10.7745,0.960566,0.482693,2,5,0,11.0887,0.799145,0.16726
-11.1714,0.898363,0.716577,1,1,0,11.1849,0.770617,0.186584
-10.5263,1,0.918307,1,3,0,11.0121,0.852014,0.12891
-10.5263,0.0253272,1.47711,1,1,0,11.1039,0.852014,0.12891
-10.5101,0.998389,0.262586,2,7,0,10.6383,0.843178,0.135563
-10.7467,0.958262,0.421531,1,3,0,11.3234,0.801664,0.165509
-11.1984,0.73163,0.615237,1,3,0,13.3018,0.897677,0.0928251
-11.2611,0.995056,0.54127,1,1,0,11.3009,0.89976,0.0911073
-11.9491,0.883034,0.851312,1,1,0,11.9804,0.917158,0.0765038
-10.9625,1,1.04233,2,3,0,11.6419,0.784351,0.177394
-11.2014,0.610283,1.64183,1,3,0,11.2022,0.897779,0.0927412
-11.1422,0.990208,1.10765,2,3,0,11.532,0.895701,0.0944478
-11.1422,2.06183e-06,1.69869,1,1,0,11.5599,0.895701,0.0944478
-11.1282,1,0.31212,3,7,0,11.1549,0.89519,0.0948668
-12.414,0.937474,0.489756,2,3,0,12.4246,0.925604,0.0692443
-11.6487,1,0.669921,1,1,0,12.3368,0.910521,0.0821303
-11.7532,0.96792,1.04148,2,3,0,12.3344,0.739187,0.206861
-11.7532,0.682002,1.50673,1,3,0,12.1238,0.739187,0.206861
-10.6648,1,1.19766,1,1,0,11.2164,0.809954,0.159696
-10.6648,0.116895,1.84275,1,1,0,10.8173,0.809954,0.159696
-10.8213,0.994737,0.458152,3,7,0,10.8747,0.795141,0.170027
-10.5599,0.980918,0.697607,2,3,0,10.9729,0.824471,0.149319
-12.5385,0.235939,1.02819,2,3,0,12.9544,0.927583,0.0675265
-10.8829,0.996446,0.33331,2,5,0,12.9563,0.884698,0.103382
-10.5116,0.97345,0.506704,1,3,0,11.4047,0.845492,0.13383
-10.5163,0.994557,0.732425,2,3,0,10.5526,0.836136,0.140793
-12.0609,0.33442,1.10019,2,3,0,12.1652,0.919365,0.0746178
-11.1635,1,0.443178,3,7,0,12.026,0.896462,0.0938236
-10.7894,0.883095,0.671788,2,7,0,12.65,0.797837,0.168166
-11.3228,0.830273,0.805699,1,1,0,11.3608,0.761699,0.192442
-10.7473,0.481198,0.869732,2,3,0,13.4626,0.87688,0.109623
-10.7711,0.998287,0.474927,1,1,0,10.781,0.878416,0.108403
-10.701,1,0.711476,1,1,0,10.7753,0.873605,0.112212
-10.5218,1,1.06531,1,1,0,10.6278,0.850608,0.129975
-10.5218,4.98079e-06,1.58912,1,1,0,11.5357,0.850608,0.129975
-10.6985,0.994181,0.348178,2,7,0,10.7354,0.806358,0.162228
-10.592,0.99761,0.514314,3,7,0,10.7795,0.863381,0.120197
-10.5336,0.862183,0.761966,2,3,0,12.1414,0.85392,0.127461
-10.5336,0.769427,0.870965,1,3,0,11.3832,0.85392,0.127461
-10.7442,0.953267,0.835155,2,3,0,10.8814,0.876673,0.109787
-10.7709,0.992879,1.13024,2,3,0,10.7813,0.799467,0.167037
-10.7709,0.047757,1.64244,1,1,0,11.6987,0.799467,0.167037
-11.0144,0.985383,0.411496,2,3,0,11.0731,0.780741,0.17983
-11.0199,0.998961,0.590335,1,1,0,11.1049,0.780368,0.18008
-10.5975,1,0.865644,1,1,0,10.8718,0.818383,0.153702
-10.6399,0.968961,1.26764,1,1,0,10.7112,0.812832,0.157659
-10.5102,1,1.74842,1,1,0,10.5388,0.841136,0.137086
-10.5378,0.993981,0.636177,2,3,0,10.57,0.829147,0.145921
-10.5378,1.37248e-65,9.05212,1,1,0,10.5422,0.829147,0.145921
-10.538,0.99979,1.52486,1,1,0,10.5616,0.829088,0.145965
-10.538,5.15453e-16,2.15508,1,1,0,11.8241,0.829088,0.145965
-10.6299,0.997716,0.202693,3,11,0,10.8375,0.867519,0.116983
-10.637,0.999792,0.314586,1,1,0,10.6382,0.868208,0.116445
